Parameter1,Parameter2,rho,CI,CI_low,CI_high,S,p,Method,n_Obs
copies_per_uL,n.miss_N2,-0.6712504376291875,0.95,-0.7773442607487846,-0.5280279679790605,159243.4266990595,2.9409867375627038e-8,Spearman correlation,83
copies_per_uL,n_N1,-0.3969129670889998,0.95,-0.566816433307774,-0.19462402118948754,142960.07305188823,0.8378784929809415,Spearman correlation,85
copies_per_uL,n_N2,-0.3583569471256005,0.95,-0.5374822637521686,-0.14828917126522365,129429.68334991572,1,Spearman correlation,83
copies_per_uL,copies_Avg,0.8251822435141807,0.95,0.7385295074504404,0.8850170919043991,16657.33510899481,7.612136589836142e-18,Spearman correlation,83
copies_per_uL,copies_per_uL_A_N1,0.6829106676156214,0.95,0.5453281463341975,0.7846624059041748,32450.922276217312,4.784826456139789e-9,Spearman correlation,85
copies_per_uL,copies_per_uL_A_N2,0.730311302558827,0.95,0.6067649927079082,0.8194046779251554,25697.017846984727,3.878395213541161e-11,Spearman correlation,83
copies_per_uL,copies_per_uL_B_N1,0.7769148556586624,0.95,0.6721746996608596,0.8511690270995849,22830.533671892495,2.0126147220749943e-14,Spearman correlation,85
copies_per_uL,copies_per_uL_B_N2,0.7867011949507468,0.95,0.6842738757048131,0.8586872031284486,20323.963340313047,1.0331553031204112e-14,Spearman correlation,83
copies_per_uL,copies_per_uL_C_N1,0.6528669131701875,0.95,0.5050537387411873,0.7634738171361763,34286.33498618058,1.2931585337168614e-7,Spearman correlation,84
copies_per_uL,copies_per_uL_C_N2,0.7071425802288283,0.95,0.5746332590736491,0.8035235176479528,26908.032585995028,9.057437311712183e-10,Spearman correlation,82
copies_per_uL,copies_A_N1,0.5920960072936379,0.95,0.4284910707173874,0.7181082089771436,41744.8946135691,1.6835193284556963e-5,Spearman correlation,85
copies_per_uL,copies_A_N2,0.5707807863646244,0.95,0.3995147292168076,0.7035466899775922,40897.72355203313,1.1878283089344316e-4,Spearman correlation,83
copies_per_uL,copies_B_N1,0.6193417270456459,0.95,0.46297865964276774,0.7383204321934004,38956.567654148595,1.9255847721226564e-6,Spearman correlation,85
copies_per_uL,copies_B_N2,0.6906331376856498,0.95,0.5535993984428312,0.7912530895379939,29477.712108760545,3.995348306541106e-9,Spearman correlation,83
copies_per_uL,copies_C_N1,0.46544784528163247,0.95,0.27293433528952543,0.6221193838422544,52797.71632153317,0.045518723721402955,Spearman correlation,84
copies_per_uL,copies_C_N2,0.5648522598541319,0.95,0.3909308493179819,0.699827695516071,39981.80951234251,2.159318286023078e-4,Spearman correlation,82
copies_per_uL,influent_flow_L_A,-0.03375799603222406,0.95,-0.2511232592303736,0.1868485005072716,105794.7933139378,1,Spearman correlation,85
copies_per_uL,influent_flow_L_B,0.004965155951575298,0.95,-0.21449202857352015,0.22394511045046536,101831.86593991578,1,Spearman correlation,85
copies_per_uL,influent_flow_L_C,0.07407707574341048,0.95,-0.14888386460577727,0.2898704703106071,91453.40722882334,1,Spearman correlation,84
copies_per_uL,influent_tss_mg_l_A,-0.18601866798167213,0.95,-0.38936422467449483,0.034616705244936874,121377.15048124433,1,Spearman correlation,85
